OBJECTID,ROW_TYPE,GEOGRAPHY,GEOGRAPHY_ID,CALENDAR_YEAR,CALENDAR_MONTH,OFFENSE_DESCRIPTION,OFFENSE_COUNT
1,CMPD Jurisdiction,CMPD,0,2015,01,Homicide,8
2,CMPD Jurisdiction,CMPD,0,2015,03,Aggravated Assault-Knife,48
3,CMPD Jurisdiction,CMPD,0,2015,05,Attempted Rape,2
4,CMPD Jurisdiction,CMPD,0,2015,02,Homicide,5
5,CMPD Jurisdiction,CMPD,0,2015,07,Aggravated Assault-Knife,47
6,CMPD Jurisdiction,CMPD,0,2015,06,Strong Arm Robbery,42
7,CMPD Jurisdiction,CMPD,0,2015,06,Rape,19
8,CMPD Jurisdiction,CMPD,0,2015,07,"Aggravated Assault-Fists,Feet, etc.",4
9,CMPD Jurisdiction,CMPD,0,2015,09,"Aggravated Assault-Fists,Feet, etc.",10
10,CMPD Jurisdiction,CMPD,0,2015,08,Rape,35
11,CMPD Jurisdiction,CMPD,0,2015,10,Aggravated Assault-Knife,53
12,CMPD Jurisdiction,CMPD,0,2015,12,Aggravated Assault-Knife,39
13,CMPD Jurisdiction,CMPD,0,2015,12,Attempted Rape,3
14,CMPD Jurisdiction,CMPD,0,2016,03,"Aggravated Assault-Fists,Feet, etc.",11
15,CMPD Jurisdiction,CMPD,0,2016,01,Aggravated Assault-Knife,43
16,CMPD Jurisdiction,CMPD,0,2016,05,Homicide,5
17,CMPD Jurisdiction,CMPD,0,2016,06,Aggravated Assault-Gun,245
18,CMPD Jurisdiction,CMPD,0,2016,06,Homicide,4
19,CMPD Jurisdiction,CMPD,0,2016,09,Strong Arm Robbery,51
20,CMPD Jurisdiction,CMPD,0,2016,09,Rape,23
21,CMPD Jurisdiction,CMPD,0,2016,09,Aggravated Assault-Other Weapon,88
22,CMPD Jurisdiction,CMPD,0,2016,10,Homicide,6
23,CMPD Jurisdiction,CMPD,0,2017,03,Armed Robbery,89
24,CMPD Jurisdiction,CMPD,0,2017,03,Aggravated Assault-Knife,47
25,CMPD Jurisdiction,CMPD,0,2017,02,Strong Arm Robbery,46
26,CMPD Jurisdiction,CMPD,0,2017,03,Homicide,8
27,CMPD Jurisdiction,CMPD,0,2017,02,Attempted Rape,1
28,CMPD Jurisdiction,CMPD,0,2017,04,Aggravated Assault-Knife,48
29,CMPD Jurisdiction,CMPD,0,2017,05,Aggravated Assault-Gun,218
30,CMPD Jurisdiction,CMPD,0,2017,06,Strong Arm Robbery,51
31,CMPD Jurisdiction,CMPD,0,2017,06,Rape,33
32,CMPD Jurisdiction,CMPD,0,2017,08,Aggravated Assault-Other Weapon,56
33,CMPD Jurisdiction,CMPD,0,2017,07,Aggravated Assault-Other Weapon,78
34,CMPD Jurisdiction,CMPD,0,2017,07,"Aggravated Assault-Fists,Feet, etc.",9
35,CMPD Jurisdiction,CMPD,0,2017,10,Strong Arm Robbery,38
36,CMPD Jurisdiction,CMPD,0,2017,09,Strong Arm Robbery,60
37,CMPD Jurisdiction,CMPD,0,2017,09,Aggravated Assault-Other Weapon,62
38,CMPD Jurisdiction,CMPD,0,2017,11,Homicide,4
39,CMPD Jurisdiction,CMPD,0,2017,12,Armed Robbery,115
40,CMPD Jurisdiction,CMPD,0,2017,12,Aggravated Assault-Other Weapon,55
41,CMPD Jurisdiction,CMPD,0,2017,12,Strong Arm Robbery,39
42,CMPD Jurisdiction,CMPD,0,2018,01,Strong Arm Robbery,45
43,CMPD Jurisdiction,CMPD,0,2018,03,Aggravated Assault-Other Weapon,64
44,CMPD Jurisdiction,CMPD,0,2018,05,Armed Robbery,107
45,CMPD Jurisdiction,CMPD,0,2018,05,Aggravated Assault-Other Weapon,63
46,CMPD Jurisdiction,CMPD,0,2018,05,Aggravated Assault-Knife,49
47,CMPD Jurisdiction,CMPD,0,2018,07,Aggravated Assault-Other Weapon,56
48,CMPD Jurisdiction,CMPD,0,2018,06,Rape,15
49,CMPD Jurisdiction,CMPD,0,2018,07,Homicide,4
50,CMPD Jurisdiction,CMPD,0,2018,05,Rape,17
51,CMPD Jurisdiction,CMPD,0,2018,08,Aggravated Assault-Gun,299
52,CMPD Jurisdiction,CMPD,0,2018,08,Rape,30
53,CMPD Jurisdiction,CMPD,0,2018,09,Homicide,7
54,CMPD Jurisdiction,CMPD,0,2018,08,Attempted Rape,1
55,CMPD Jurisdiction,CMPD,0,2018,10,Aggravated Assault-Gun,190
56,CMPD Jurisdiction,CMPD,0,2018,12,Armed Robbery,113
57,CMPD Jurisdiction,CMPD,0,2018,11,Armed Robbery,111
58,CMPD Jurisdiction,CMPD,0,2018,11,Aggravated Assault-Knife,30
59,CMPD Jurisdiction,CMPD,0,2019,01,Aggravated Assault-Gun,251
